,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
0,1,2015,nonresidential,hotel,7,DOWNTOWN,1.0,12.0,88434,0,88434,hotel,88434.0,No information,0.0,No information,0.0,65.0,6981428.0,2023032.0,3686160.0,1272388.0,249.70499999999998,47.61219025,-122.33799744,POINT (-122.33799744 47.61219025),88
1,2,2015,nonresidential,hotel,7,DOWNTOWN,1.0,11.0,103566,15064,88502,hotel,83880.0,parking,15064.0,restaurant,4622.0,51.0,8354235.0,0.0,3905411.0,4448985.0,279.685,47.61310583,-122.33335756,POINT (-122.33335756 47.61310583),19
2,3_2015,2015,nonresidential,hotel,7,DOWNTOWN,1.0,41.0,961990,0,961990,hotel,757243.0,parking,100000.0,swimming pool,0.0,18.0,73130656.0,19660404.0,49762435.0,3709900.0,2061.48,47.61334897,-122.33769944,POINT (-122.33769944 47.61334897),46
3,5,2015,nonresidential,hotel,7,DOWNTOWN,1.0,10.0,61320,0,61320,hotel,61320.0,No information,0.0,No information,0.0,1.0,28229320.0,23458518.0,2769023.0,2001894.0,1111.385,47.61421585,-122.33660889,POINT (-122.33660889 47.61421585),89
4,8_2015,2015,nonresidential,hotel,7,DOWNTOWN,1.0,18.0,119890,12460,107430,hotel,123445.0,parking,68009.0,swimming pool,0.0,67.0,14829099.0,0.0,6066245.0,8763105.0,507.7,47.6137544,-122.3409238,POINT (-122.3409238 47.6137544),35
6,10,2015,nonresidential,hotel,7,DOWNTOWN,1.0,11.0,83008,0,83008,hotel,81352.0,No information,0.0,No information,0.0,25.0,6252842.0,0.0,2679698.0,3573255.0,192.3,47.6141141,-122.33274086,POINT (-122.33274086 47.6141141),89
8,12,2015,nonresidential,hotel,7,DOWNTOWN,1.0,15.0,163984,0,163984,hotel,163984.0,No information,0.0,No information,0.0,46.0,12633744.0,0.0,7355649.0,5278400.0,361.885,47.60258934,-122.33255325,POINT (-122.33255325 47.60258934),111
10,15,2015,nonresidential,hotel,7,DOWNTOWN,1.0,11.0,153163,19279,133884,No information,0.0,No information,0.0,No information,0.0,48.0,14719853.0,3623542.0,6337531.0,4759044.0,633.9449999999999,47.60712147,-122.33431932,POINT (-122.33431932 47.60712147),46
11,16,2015,nonresidential,hotel,7,DOWNTOWN,1.0,25.0,333176,61161,272015,hotel,336640.0,No information,0.0,No information,0.0,32.0,27717026.0,5426396.0,19058722.0,3232700.0,732.185,47.60718204,-122.33347215,POINT (-122.33347215 47.60718204),17
12,17,2015,nonresidential,hotel,7,DOWNTOWN,1.0,9.0,65009,0,65009,hotel,65009.0,No information,0.0,No information,0.0,39.0,6807227.0,1987163.0,1615057.0,3205074.0,331.55,47.60709939,-122.33310536,POINT (-122.33310536 47.60709939),87
13,18,2015,nonresidential,hotel,7,DOWNTOWN,1.0,33.0,315952,57600,258352,hotel,295511.0,parking,57600.0,No information,0.0,56.0,22811690.0,4731090.0,14090906.0,3990280.0,661.98,47.60809326,-122.33211517,POINT (-122.33211517 47.60809326),35
14,19_2015,2015,nonresidential,hotel,7,DOWNTOWN,1.0,11.0,67390,0,67390,No information,0.0,No information,0.0,No information,0.0,14.0,10711451.0,4403788.0,4089407.0,2218425.0,486.25,47.60761642,-122.3323288,POINT (-122.3323288 47.60761642),93
17,23,2015,nonresidential,hotel,7,DOWNTOWN,1.0,28.0,416281,85000,331281,hotel,348329.0,parking,85000.0,No information,0.0,30.0,33270518.0,0.0,21932264.0,11339166.0,779.005,47.60656003,-122.33063632,POINT (-122.33063632 47.60656003),32
19,25,2015,nonresidential,hotel,7,DOWNTOWN,1.0,10.0,104352,0,104352,No information,0.0,No information,0.0,No information,0.0,83.0,7845112.0,3205497.0,1790665.0,2849024.0,380.27,47.60397899,-122.3320576,POINT (-122.3320576 47.60397899),99
20,26,2015,nonresidential,other,7,DOWNTOWN,1.0,10.0,540360,0,540360,courthouse,537150.0,No information,0.0,No information,0.0,67.0,53332648.0,0.0,26798906.0,26534856.0,1430.685,47.60264587,-122.33052826,POINT (-122.33052826 47.60264587),99
22,28,2015,sps-district k-12,k-12 school,2,SOUTHEAST,1.0,2.0,56228,0,56228,k-12 school,58320.0,No information,0.0,No information,0.0,96.0,1454222.0,0.0,911659.0,542600.0,36.85,47.54570136,-122.2685843,POINT (-122.2685843 47.54570136),54
23,29,2015,nonresidential,hotel,4,NORTHEAST,1.0,6.0,88592,30586,58006,hotel,58006.0,parking,30586.0,No information,0.0,85.0,3880806.0,0.0,2254751.0,1626149.0,96.045,47.65953281,-122.3173925,POINT (-122.3173925 47.65953281),14
27,33,2015,nonresidential,hotel,7,DOWNTOWN,1.0,10.0,171866,38281,133585,hotel,128909.0,No information,0.0,No information,0.0,20.0,11026945.0,0.0,5763595.0,5263590.0,324.18,47.61806905,-122.33005445,POINT (-122.33005445 47.61806905),14
28,34,2015,sps-district k-12,k-12 school,3,CENTRAL,1.0,1.0,126351,0,126351,k-12 school,126351.0,No information,0.0,No information,0.0,57.0,6283226.0,0.0,1933106.0,4350200.0,122.255,47.62309371,-122.3053887,POINT (-122.3053887 47.62309371),60
29,35,2015,nonresidential,hotel,7,DOWNTOWN,1.0,5.0,68410,16200,52210,hotel,47994.0,No information,0.0,No information,0.0,60.0,4341706.0,0.0,2276244.0,2065556.0,127.005,47.61587049,-122.34197968,POINT (-122.34197968 47.61587049),37
30,36,2015,sps-district k-12,k-12 school,5,NORTH,1.0,2.0,160645,0,160645,k-12 school,164229.0,No information,0.0,No information,0.0,80.0,6387710.0,0.0,1709681.0,4678100.0,265.275,47.71011498,-122.29379175,POINT (-122.29379175 47.71011498),66
31,37,2015,sps-district k-12,k-12 school,7,MAGNOLIA / QUEEN ANNE,1.0,2.0,51582,0,51582,k-12 school,55166.0,No information,0.0,No information,0.0,94.0,1472548.0,0.0,1472609.0,0.0,10.35,47.63303191,-122.35245717,POINT (-122.35245717 47.63303191),26
33,40,2015,nonresidential,hotel,4,NORTHEAST,1.0,4.0,81871,0,81871,hotel,81871.0,No information,0.0,No information,0.0,20.0,7419765.0,0.0,3266270.0,4153630.0,229.185,47.66585193,-122.29889419,POINT (-122.29889419 47.66585193),21
34,41_2015,2015,nonresidential,self-storage facility,4,NORTHEAST,1.0,2.0,126394,0,126394,self-storage facility,26225.0,No information,0.0,No information,0.0,77.0,306721.0,0.0,272732.0,34000.0,3.71,47.66270326,-122.29612323,POINT (-122.29612323 47.66270326),60
35,46_2015,2015,nonresidential,distribution center,2,GREATER DUWAMISH,7.0,2.0,714095,0,714095,No information,0.0,No information,0.0,No information,0.0,1.0,47843892.0,0.0,47845869.0,0.0,333.54,47.5106034,-122.29027588,POINT (-122.29027588 47.5106034),54
36,50,2015,sps-district k-12,k-12 school,7,MAGNOLIA / QUEEN ANNE,1.0,2.0,54986,0,54986,k-12 school,54986.0,No information,0.0,No information,0.0,91.0,1655612.0,0.0,1281965.0,373700.0,30.125,47.65726207,-122.39065097,POINT (-122.39065097 47.65726207),25
37,51,2015,sps-district k-12,k-12 school,4,NORTHEAST,1.0,2.0,175565,0,175565,k-12 school,182861.0,No information,0.0,No information,0.0,88.0,6227419.0,0.0,1561983.0,4665500.0,262.36,47.68245037,-122.2939354,POINT (-122.2939354 47.68245037),65
38,52,2015,nonresidential,small- and mid-sized office,6,BALLARD,1.0,2.0,94900,0,94900,office,55586.0,non-refrigerated warehouse,39314.0,No information,0.0,57.0,6043853.0,0.0,4289697.0,1754334.0,126.82,47.66580963,-122.3860321,POINT (-122.3860321 47.66580963),54
39,53,2015,nonresidential,small- and mid-sized office,2,GREATER DUWAMISH,1.0,2.0,52554,0,52554,office,51029.0,other - education,7849.0,No information,0.0,93.0,2137686.0,0.0,1226016.0,911721.0,70.41499999999999,47.58002948,-122.31181286,POINT (-122.31181286 47.58002948),115
40,54,2015,nonresidential,k-12 school,6,NORTHWEST,1.0,3.0,175015,0,175015,k-12 school,175015.0,No information,0.0,No information,0.0,95.0,7080118.0,0.0,2694187.0,4386042.0,249.785,47.68894837,-122.33616192,POINT (-122.33616192 47.68894837),61
42,56,2015,nonresidential,hotel,7,DOWNTOWN,1.0,24.0,332210,205970,126240,hotel,348630.0,No information,0.0,No information,0.0,68.0,15660628.0,0.0,12308680.0,3352459.0,279.59000000000003,47.60950466,-122.3334029,POINT (-122.3334029 47.60950466),46
43,57,2015,nonresidential,large office,7,DOWNTOWN,1.0,5.0,168115,0,168115,office,103501.0,retail store,65676.0,data center,354.0,79.0,9213841.0,0.0,9214222.0,0.0,65.355,47.61103976,-122.3363484,POINT (-122.3363484 47.61103976),42
48,62,2015,nonresidential,hotel,7,DOWNTOWN,1.0,20.0,98634,10043,88591,hotel,83591.0,parking,10043.0,restaurant,5000.0,46.0,6175812.0,0.0,5422999.0,753040.0,68.495,47.61229324,-122.33441925,POINT (-122.33441925 47.61229324),85
49,63,2015,nonresidential,hotel,7,DOWNTOWN,1.0,34.0,994212,146694,847518,hotel,994212.0,parking,117668.0,swimming pool,0.0,60.0,85357952.0,16229832.0,45041634.0,24088353.0,2648.825,47.61101988,-122.3335344,POINT (-122.3335344 47.61101988),33
50,65,2015,nonresidential,hotel,7,DOWNTOWN,1.0,7.0,71150,0,71150,hotel,41340.0,parking,13730.0,retail store,9604.0,99.0,5040382.0,0.0,3053131.0,1987378.0,130.605,47.60989093,-122.3414255,POINT (-122.3414255 47.60989093),30
51,66,2015,nonresidential,hotel,7,DOWNTOWN,1.0,7.0,122810,0,122810,hotel,88360.0,other - entertainment/public assembly,26450.0,retail store,8000.0,99.0,5086863.0,0.0,1305729.0,3781188.0,218.55,47.61155254,-122.3408486,POINT (-122.3408486 47.61155254),107
52,67,2015,nonresidential,hotel,7,LAKE UNION,1.0,5.0,113173,42546,70627,No information,0.0,No information,0.0,No information,0.0,86.0,4988241.0,0.0,3125480.0,1862890.0,132.76,47.62037281,-122.3441465,POINT (-122.3441465 47.62037281),56
53,68,2015,nonresidential,hotel,7,LAKE UNION,1.0,7.0,150453,34735,115718,hotel,107547.0,restaurant,3000.0,No information,0.0,83.0,6722886.0,0.0,3586563.0,3136472.0,195.765,47.6203118,-122.3428044,POINT (-122.3428044 47.6203118),15
54,69,2015,nonresidential,hotel,7,LAKE UNION,1.0,6.0,116300,28200,88100,hotel,88490.0,parking,28300.0,No information,0.0,84.0,6014078.0,0.0,3238067.0,2776145.0,166.2,47.62021696,-122.3432115,POINT (-122.3432115 47.62021696),18
55,70,2015,nonresidential,hotel,7,MAGNOLIA / QUEEN ANNE,1.0,6.0,155602,36744,118858,hotel,155602.0,No information,0.0,No information,0.0,81.0,6915293.0,0.0,4566435.0,2349046.0,154.675,47.62050588,-122.3596901,POINT (-122.3596901 47.62050588),17
56,73,2015,nonresidential,k-12 school,3,EAST,1.0,3.0,56072,0,56072,k-12 school,56072.0,No information,0.0,No information,0.0,77.0,3106930.0,0.0,550355.0,2556597.0,142.98000000000002,47.63445532,-122.3080163,POINT (-122.3080163 47.63445532),104
57,77,2015,nonresidential,hotel,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,122942,44891,78051,hotel,78051.0,parking,44891.0,No information,0.0,94.0,5276777.0,0.0,2400660.0,2876216.0,170.565,47.62498256,-122.3445605,POINT (-122.3445605 47.62498256),16
58,82,2015,nonresidential,small- and mid-sized office,3,CENTRAL,1.0,2.0,54984,0,54984,office,54984.0,No information,0.0,No information,0.0,65.0,3504957.0,0.0,2181293.0,1323754.0,86.745,47.60841187,-122.3095441,POINT (-122.3095441 47.60841187),53
59,84,2015,nonresidential,senior care community,1,SOUTHWEST,1.0,5.0,217603,0,217603,senior care community,296313.0,parking,0.0,No information,0.0,50.0,45494324.0,0.0,12080722.0,33414103.0,1792.975,47.55837362,-122.378518,POINT (-122.378518 47.55837362),93
60,85,2015,nonresidential,senior care community,5,NORTHWEST,1.0,2.0,93397,0,93397,senior care community,93397.0,No information,0.0,No information,0.0,1.0,16371764.0,0.0,5797976.0,10574028.0,605.55,47.72389349,-122.3562998,POINT (-122.3562998 47.72389349),45
61,86,2015,nonresidential,hotel,7,LAKE UNION,1.0,6.0,84103,20732,63371,hotel,63371.0,parking,20732.0,No information,0.0,68.0,3979132.0,0.0,2975816.0,1003439.0,70.55000000000001,47.61990903,-122.3320457,POINT (-122.3320457 47.61990903),7
63,89_2015,2015,nonresidential,medical office,3,EAST,1.0,3.0,179014,0,179014,medical office,179014.0,No information,0.0,No information,0.0,48.0,18868768.0,0.0,9501003.0,9368159.0,563.78,47.61249662,-122.3213373,POINT (-122.3213373 47.61249662),50
64,95,2015,nonresidential,hotel,3,EAST,1.0,7.0,76631,0,76631,hotel,76631.0,No information,0.0,No information,0.0,24.0,7231928.0,0.0,2784090.0,4447953.0,259.195,47.60895788,-122.3268374,POINT (-122.3268374 47.60895788),107
66,98,2015,nonresidential,retail store,7,LAKE UNION,1.0,2.0,58320,0,58320,retail store,72072.0,No information,0.0,No information,0.0,95.0,1074180.0,0.0,376328.0,697867.0,39.375,47.622375,-122.33805,POINT (-122.33805 47.622375),86
67,100,2015,nonresidential,large office,7,LAKE UNION,1.0,5.0,316306,0,316306,office,261826.0,parking,150726.0,other,15139.0,96.0,13300859.0,0.0,12471183.0,830194.0,134.94,47.62428336,-122.33589247,POINT (-122.33589247 47.62428336),5
68,102,2015,nonresidential,hotel,3,LAKE UNION,1.0,7.0,282863,44766,238097,hotel,235788.0,parking,51537.0,No information,0.0,40.0,18829136.0,0.0,10638785.0,8190794.0,518.015,47.6263594,-122.333131,POINT (-122.333131 47.6263594),25
72,107,2015,nonresidential,large office,7,LAKE UNION,1.0,12.0,571329,0,571329,office,598801.0,parking,310699.0,other,26203.0,89.0,41734776.0,0.0,34236747.0,7499452.0,627.24,47.62099765,-122.33592466,POINT (-122.33592466 47.62099765),5
77,114,2015,nonresidential,large office,7,MAGNOLIA / QUEEN ANNE,1.0,6.0,920598,303707,616891,office,729584.0,parking,185014.0,other,6000.0,93.0,36681188.0,0.0,28483019.0,8199352.0,654.06,47.62334946,-122.344706,POINT (-122.344706 47.62334946),5
78,115,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,76213,25930,50283,office,48546.0,parking,21454.0,other,2406.0,72.0,3303553.0,0.0,2809470.0,494199.0,47.295,47.62038448,-122.3584269,POINT (-122.3584269 47.62038448),45
